"GeneID"	"D.RM1_1"	"D.RM1_2"	"D.RM1_3"	"RM1_1"	"RM1_2"	"RM1_3"	"R.RM1_1"	"R.RM1_2"	"R.RM1_3"	"geneName"	"geneType"
"ENSMUSG00000039981.6"	10	8	24	0	2	13	1	0	1	"Zc3h12d"	"protein_coding"
"ENSMUSG00000039982.8"	815	650	190	1484	2127	1762	859	991	819	"Dtx4"	"protein_coding"
"ENSMUSG00000039983.13"	221	183	66	302	368	388	347	453	390	"Ccdc32"	"protein_coding"
"ENSMUSG00000039985.14"	806.23	536.37	177.23	2917.84	2987.34	3051.84	2441.44	2985.14	2320.3	"Sinhcaf"	"protein_coding"
"ENSMUSG00000039987.15"	392	303	88	808	1093	959	677	923	686	"Phtf2"	"protein_coding"
"ENSMUSG00000039988.14"	1272	818	286	2963	3613	3454	2701	3146	2793	"Ankrd13c"	"protein_coding"
"ENSMUSG00000039989.7"	1263	1052	315	1083	1272	1090	1282	1441	1011	"Cbx4"	"protein_coding"
"ENSMUSG00000039990.16"	413	262	102	646	684	578	549	627	472	"Edrf1"	"protein_coding"
"ENSMUSG00000039994.15"	484	289	106	2124	2513	2204	2027	2395	1945	"Timeless"	"protein_coding"
"ENSMUSG00000039997.16"	3907.18	2259.39	747.44	1	3	2	594.36	527.37	608.78	"Ifi203"	"protein_coding"
"ENSMUSG00000040003.18"	57	54	33	36.84	75	37	57	100	59	"Magi2"	"protein_coding"
"ENSMUSG00000040006.13"	829	702	222	598	632	540	769	962	506	"Ginm1"	"protein_coding"
"ENSMUSG00000040007.8"	2065	1641	462	1905	2202	2065	1866	2391	1989	"Bahd1"	"protein_coding"
"ENSMUSG00000040009.6"	40	43	28	15	9	6	33	14	19	"Gnaz"	"protein_coding"
"ENSMUSG00000040010.10"	7291	4637	1440	20032	24120	21822	11890	14624	10409	"Slc7a5"	"protein_coding"
"ENSMUSG00000040013.11"	2	0	5	0	0	0	0	0	0	"Fkbp6"	"protein_coding"
"ENSMUSG00000040016.16"	17	23	22	0	0	0	7	0	0	"Ptger3"	"protein_coding"
"ENSMUSG00000040017.8"	0	6	8	8	0	1	2	0	2	"Saa4"	"protein_coding"
"ENSMUSG00000040018.9"	968	578	253	1777	2234	2221	1457	1805	1245	"Cox15"	"protein_coding"
"ENSMUSG00000040021.13"	3800	2707	718	6690	7316	7818	5906	7578	6055	"Lats1"	"protein_coding"
"ENSMUSG00000040022.14"	535	215	135	877	936	804	628	708	509	"Rab11fip2"	"protein_coding"
"ENSMUSG00000040025.17"	1606	1171	343	3802	4262	4290	4011	4759	3720	"Ythdf2"	"protein_coding"
"ENSMUSG00000040026.8"	10	21	17	3	2	4	4	3	8	"Saa3"	"protein_coding"
"ENSMUSG00000040028.10"	2033	1514	477	6435	7436	7044	6409	7715	6441	"Elavl1"	"protein_coding"
"ENSMUSG00000040029.14"	1645	1168	389	2357	2549	2474	2460	2710	2500	"Ipo8"	"protein_coding"
"ENSMUSG00000040033.16"	5484	3510	917	144	171	153	1968	2150	1957	"Stat2"	"protein_coding"
"ENSMUSG00000040034.15"	286	127	62	1076	1098	1195	1146	1412	996	"Nup43"	"protein_coding"
"ENSMUSG00000040035.14"	352	470	197	56	81	48	132	185	143	"Disp2"	"protein_coding"
"ENSMUSG00000040037.13"	33	35	31	2	5	0	4	2	9	"Negr1"	"protein_coding"
"ENSMUSG00000040040.16"	218	112	47	192	195	169	220	180	186	"Ift88"	"protein_coding"
"ENSMUSG00000040043.16"	2956	2473	628	2621	2974	3088	2926	3031	2175	"Rbms2"	"protein_coding"
"ENSMUSG00000040044.11"	1053	659	212	1954	1821	1857	1882	2114	1402	"Orc3"	"protein_coding"
"ENSMUSG00000040046.14"	4	24	31	8	6	0	3	17	2	"Tph1"	"protein_coding"
"ENSMUSG00000040048.14"	380	460	131	1394	1194	1501	1319	1476	1272	"Ndufb10"	"protein_coding"
"ENSMUSG00000040054.16"	2864.85	2294.17	570.61	3245.78	3378.98	3406.73	2315.73	2725.64	2301.56	"Baz2a"	"protein_coding"
"ENSMUSG00000040055.9"	1	3	17	0	0	0	0	0	0	"Gjb6"	"protein_coding"
"ENSMUSG00000040061.17"	25	49	42	4	0	2	10	13	7	"Plcb2"	"protein_coding"
"ENSMUSG00000040065.8"	4	17	22	2	0	0	0	0	1	"Pfpl"	"protein_coding"
"ENSMUSG00000040078.9"	85.53	31.93	5.33	170.66	194.78	187.87	160.92	140.54	130.79	"Ptges3-ps"	"processed_pseudogene"
"ENSMUSG00000040084.9"	2367	1534	462	5642	6470	5804	5924	6388	5486	"Bub1b"	"protein_coding"
"ENSMUSG00000040086.13"	0	0	3	0	0	0	0	0	0	"Tnni3k"	"protein_coding"
"ENSMUSG00000040093.15"	382	193	86	9	2	11	46	46	48	"Bmf"	"protein_coding"
"ENSMUSG00000040097.16"	674	450	148	638	907	768	999	1240	1055	"Flywch1"	"protein_coding"
"ENSMUSG00000040102.10"	907	623	237	1624	1739	1667	1311	1458	1401	"Klhl42"	"protein_coding"
"ENSMUSG00000040105.3"	97	88	41	82	91	73	97	108	59	"Plpp6"	"protein_coding"
"ENSMUSG00000040111.16"	1976	1579	416	534	409	548	1115	1230	939	"Gramd1b"	"protein_coding"
"ENSMUSG00000040112.9"	453	435	151	1160	1182	1203	1033	1281	917	"Mrps35"	"protein_coding"
"ENSMUSG00000040113.14"	6	0	7	0	1	0	3	0	3	"Mettl11b"	"protein_coding"
"ENSMUSG00000040118.15"	348	254	144	302	328	354	433	406	362	"Cacna2d1"	"protein_coding"
"ENSMUSG00000040121.5"	18	15	13	9	30	38	17	14	14	"Rep15"	"protein_coding"
"ENSMUSG00000040123.17"	440.63	338.68	103	399.22	472.49	423.87	558.53	577.6	501.94	"Zmym5"	"protein_coding"
"ENSMUSG00000040124.5"	531	327	130	373	360	384	582	532	392	"Gorab"	"protein_coding"
"ENSMUSG00000040125.4"	32	45	49	1	10	18	2	0	16	"Gpr26"	"protein_coding"
"ENSMUSG00000040127.13"	1	10	12	0	2	4	0	0	1	"Sdr9c7"	"protein_coding"
"ENSMUSG00000040128.9"	2030	1636	441	571	767	469	611	578	535	"Pnrc1"	"protein_coding"
"ENSMUSG00000040132.6"	2	21	9	0	0	5	0	0	0	"Svs2"	"protein_coding"
"ENSMUSG00000040133.2"	19	35	33	10	15	12	0	4	2	"Gpr176"	"protein_coding"
"ENSMUSG00000040134.8"	0	3	9	0	0	0	0	0	0	"Rdh7"	"protein_coding"
"ENSMUSG00000040136.10"	11	19	34	0	1	6	1	5	10	"Abcc8"	"protein_coding"
"ENSMUSG00000040138.7"	117	77	30	13	26	21	113	144	91	"Ndp"	"protein_coding"
"ENSMUSG00000040139.14"	75	72	43	156	173	138	158	254	128	"9430038I01Rik"	"protein_coding"
"ENSMUSG00000040140.15"	33	43	45	0	2	6	1	0	6	"Tdrd6"	"protein_coding"
"ENSMUSG00000040146.9"	10	11	17	0	0	11	1	0	1	"Rgl3"	"protein_coding"
"ENSMUSG00000040147.14"	8	3	0	0	0	0	10	0	9	"Maob"	"protein_coding"
"ENSMUSG00000040148.5"	7	13	8	0	0	0	1	3	2	"Hmx3"	"protein_coding"
"ENSMUSG00000040151.9"	2109	1492	461	3047	3230	3464	2740	3418	2702	"Hs2st1"	"protein_coding"
"ENSMUSG00000040152.8"	477	270	89	338	371	322	901	1056	983	"Thbs1"	"protein_coding"
"ENSMUSG00000040154.11"	12	20	16	3	0	6	3	2	0	"Wfdc5"	"protein_coding"
"ENSMUSG00000040158.12"	645	559.26	156	780	828.79	680.65	820.83	849.85	905.94	"Tax1bp3"	"protein_coding"
"ENSMUSG00000040163.14"	16	6	14	0	3	0	1	1	4	"1700034J05Rik"	"protein_coding"
"ENSMUSG00000040164.3"	10	33	36	0	0	0	3	0	3	"Kcns1"	"protein_coding"
"ENSMUSG00000040165.14"	15	15	12.65	0	0	13	25	20	31	"Cd209c"	"protein_coding"
"ENSMUSG00000040167.16"	785.67	604	180.74	964	1191	1217.26	1307	1336.59	992.65	"Ikzf5"	"protein_coding"
"ENSMUSG00000040170.13"	9	20	31	0	0	0	0	0	3	"Fmo2"	"protein_coding"
"ENSMUSG00000040174.14"	736	596	177	1342	1259	1288	1308	1439	1079	"Alkbh3"	"protein_coding"
"ENSMUSG00000040177.10"	507	371	149	929	869	777	728	814	615	"2310057M21Rik"	"protein_coding"
"ENSMUSG00000040181.14"	15	19	35	0	0	0	0	1	5	"Fmo1"	"protein_coding"
"ENSMUSG00000040183.13"	79	86	39	90	142	126	141	163	107	"Ankrd6"	"protein_coding"
"ENSMUSG00000040187.15"	182	162	59	433	355	322	238	286	272	"Arntl2"	"protein_coding"
"ENSMUSG00000040188.10"	655	396	168	737	817	783	699	819	792	"Scamp2"	"protein_coding"
"ENSMUSG00000040189.18"	54	63	24	68	53	21	44	54	52	"Ccdc114"	"protein_coding"
"ENSMUSG00000040195.11"	874	540	230	869	821	838	882	980	829	"Nemp1"	"protein_coding"
"ENSMUSG00000040197.4"	2	9	5	0	0	0	0	0	1	"Cd209e"	"protein_coding"
"ENSMUSG00000040204.6"	871.52	500	175	5257	5870.58	6265	6156.29	7007.24	5602.9	"Pclaf"	"protein_coding"
"ENSMUSG00000040205.8"	2	6	4	3	0	1	0	1	1	"Cuzd1"	"protein_coding"
"ENSMUSG00000040209.12"	32	62	120	0	0	19	0	1	15	"Zfp704"	"protein_coding"
"ENSMUSG00000040212.12"	3636	2654	816	3680	4249	3984	5524	6525	4313	"Emp3"	"protein_coding"
"ENSMUSG00000040213.13"	50	39	59	90	112	101	80	57	71	"Kyat3"	"protein_coding"
"ENSMUSG00000040217.7"	0	6	0	0	0	0	0	0	0	"Gm6369"	"processed_pseudogene"
"ENSMUSG00000040219.4"	360	238	71	129	133	149	352	309	320	"Ttc12"	"protein_coding"
"ENSMUSG00000040220.10"	965	809	237	1335	1523	1434	1609	2063	1397	"Gas8"	"protein_coding"
"ENSMUSG00000040225.15"	11491.99	9080.98	2301	30151.99	27296	26853.94	18050.14	20307.97	18634.96	"Prrc2c"	"protein_coding"
"ENSMUSG00000040229.11"	0	0	8	0	0	0	0	0	1	"Gpr34"	"protein_coding"
"ENSMUSG00000040231.16"	13	0	3	2	5	2	6	6	4	"Syngr4"	"protein_coding"
"ENSMUSG00000040234.16"	980	728	205	961	1082	1010	1096	1124	889	"Tm7sf3"	"protein_coding"
"ENSMUSG00000040236.4"	680	559	223	1220	1413	1183	1273	1487	1086	"Trappc5"	"protein_coding"
"ENSMUSG00000040242.14"	1767	1201	366	3205	3472	3341.98	3225.99	3514	2536	"Fgfr1op2"	"protein_coding"
"ENSMUSG00000040247.6"	10.61	18	22.85	8	16	9.92	5.14	8	14.74	"Tbc1d10c"	"protein_coding"
"ENSMUSG00000040249.15"	19563	20372	3939	17664	15011	13153	17010	17467	21034	"Lrp1"	"protein_coding"
"ENSMUSG00000040250.14"	1513	905	313	3460	3987	3703	3653	4169	3105	"Ints13"	"protein_coding"
"ENSMUSG00000040253.15"	521.45	273.71	95.11	5	4	7	47	58	41.86	"Gbp7"	"protein_coding"
"ENSMUSG00000040254.11"	8	7	25	12	1	5	0	0	0	"Sema3d"	"protein_coding"
"ENSMUSG00000040258.6"	97	64	22	24	23	25	34	32	14	"Nxph4"	"protein_coding"
"ENSMUSG00000040260.8"	22	37	44	11	8	7	2	3	25	"Daam2"	"protein_coding"
"ENSMUSG00000040263.16"	370	331	94	1941	1982	2243	1412	1538	1309	"Klhdc4"	"protein_coding"
"ENSMUSG00000040264.10"	1	1	10	0	0	0	2	0	0	"Gbp2b"	"protein_coding"
"ENSMUSG00000040265.16"	58	92	125	3	8	15	11	7	39	"Dnm3"	"protein_coding"
"ENSMUSG00000040268.17"	913	698	183	1211	1239	1290	1201	1581	1093	"Plekha1"	"protein_coding"
"ENSMUSG00000040269.5"	195	196	44	586	777	670	508	684	464	"Mrps28"	"protein_coding"
"ENSMUSG00000040270.16"	65	55	65	12	35	57	36	19	51	"Bach2"	"protein_coding"
"ENSMUSG00000040272.14"	331	269	135	271	165	163	196	287	195	"Accs"	"protein_coding"
"ENSMUSG00000040274.11"	3288	2530	746	8162	8505	8523	4106	5008	4539	"Cdk6"	"protein_coding"
"ENSMUSG00000040276.15"	39	30	25	0	10	0	5	4	8	"Pacsin1"	"protein_coding"
"ENSMUSG00000040280.10"	10	3	1	0	0	0	3	0	0	"Ndufa4l2"	"protein_coding"
"ENSMUSG00000040282.13"	440	318	97	758	979	920	839	921	671	"BC052040"	"protein_coding"
"ENSMUSG00000040283.14"	14	33	35	0	0	7	4	10	3	"Btnl9"	"protein_coding"
"ENSMUSG00000040284.4"	0	0	0	0	0	0	0	0	0	"Gzmg"	"protein_coding"
"ENSMUSG00000040287.9"	14	19	5	7	2	19	7	12	7	"Stac3"	"protein_coding"
"ENSMUSG00000040289.8"	17	29	11	0	0	0	0	4	2	"Hey1"	"protein_coding"
"ENSMUSG00000040296.15"	8054	4952	1538	144	132	127	5513	5753	5284	"Ddx58"	"protein_coding"
"ENSMUSG00000040297.12"	1044	712	286	984	1187	1079	939	1128	916	"Suco"	"protein_coding"
"ENSMUSG00000040298.6"	6	9	12	6	0	7	6	8	13	"Btbd16"	"protein_coding"
"ENSMUSG00000040302.17"	146	95	36	180	211	232	207	287	201	"Rbm48"	"protein_coding"
"ENSMUSG00000040310.12"	37	43	62	2	5	16	3	0	13	"Alx4"	"protein_coding"
"ENSMUSG00000040312.14"	1049	681	186	1015	1184	960	1071	1363	983	"Cchcr1"	"protein_coding"
"ENSMUSG00000040314.2"	0	0	0	0	0	0	0	0	0	"Ctsg"	"protein_coding"
"ENSMUSG00000040321.3"	568	324	164	1655	1658	1478	1293	1453	940	"Zfp770"	"protein_coding"
"ENSMUSG00000040322.10"	3406	2066	670	6676	7596	6868	7310	8561	6667	"Slc25a24"	"protein_coding"
"ENSMUSG00000040323.13"	15.11	37.81	3.1	33.13	21.11	33.55	20.43	15.03	22.71	"Gm15429"	"processed_pseudogene"
"ENSMUSG00000040325.16"	2151	1323	423	4031	4334	4314	3867	4357	3487	"Dcaf1"	"protein_coding"
"ENSMUSG00000040327.16"	29	52	70	23	12	13	5	1	14	"Cul9"	"protein_coding"
"ENSMUSG00000040328.15"	49.49	18	24	0	0	3	1	9	3	"Olfr56"	"protein_coding"
"ENSMUSG00000040329.14"	13	33	17	0	3	1	2	4	4	"Il7"	"protein_coding"
"ENSMUSG00000040331.16"	677	487	153	1604	1810	1693	1856	2033	1572	"Nsmce4a"	"protein_coding"
"ENSMUSG00000040339.10"	6568	4430	1416	2470	2456	2471	5477	5509	4857	"Fam102b"	"protein_coding"
"ENSMUSG00000040340.13"	6	1	3	2	9	4	7	1	7	"Tex45"	"protein_coding"
"ENSMUSG00000040345.10"	201	196	63	69	87	81	117	145	124	"Arhgap9"	"protein_coding"
"ENSMUSG00000040350.16"	117	142	40	37	27	50	62	57	43	"Trim7"	"protein_coding"
"ENSMUSG00000040351.11"	1224	892	272	1915	2304	2082	2072	2440	1937	"Ankib1"	"protein_coding"
"ENSMUSG00000040354.14"	1900	1406	376	4478	5103	4820	3183	3811	3320	"Mars"	"protein_coding"
"ENSMUSG00000040356.16"	1493	868	240	1613	1662	1463	1602	1821	1630	"Skiv2l"	"protein_coding"
"ENSMUSG00000040359.14"	858	614	205	714	722	632	656	745	548	"Ufl1"	"protein_coding"
"ENSMUSG00000040363.15"	2981	1902	540	5118	5860	5352	4698	4761	3885	"Bcor"	"protein_coding"
"ENSMUSG00000040364.8"	70	67	36	91	148	139	122	128	111	"Sec1"	"protein_coding"
"ENSMUSG00000040365.14"	915	711	199	902	1018	943	859	959	812	"Trim41"	"protein_coding"
"ENSMUSG00000040367.2"	10	18	7	1	0	1	1	0	0	"Lrrd1"	"protein_coding"
"ENSMUSG00000040370.13"	138	114	59	97	110	83	67	83	87	"Etfrf1"	"protein_coding"
"ENSMUSG00000040372.2"	19	16	14	71	74	91	40	29	33	"Gpr63"	"protein_coding"
"ENSMUSG00000040373.12"	13	11	23	0	1	0	4	0	3	"Cacng5"	"protein_coding"
"ENSMUSG00000040374.13"	414	282	94	598	704	679	638	805	565	"Pex2"	"protein_coding"
"ENSMUSG00000040380.14"	17	31	28	0	1	3	0	0	1	"Cbln3"	"protein_coding"
"ENSMUSG00000040383.16"	2756	1816	497	7172	7702	7653	5871	6893	5501	"Aqr"	"protein_coding"
"ENSMUSG00000040385.7"	3014	2279	727	6662	7211	7274	6861	7927	7073	"Ppp1ca"	"protein_coding"
"ENSMUSG00000040387.16"	15	21	29	0	0	2	1	2	0	"Klhl32"	"protein_coding"
"ENSMUSG00000040389.15"	334	217	79	172	221	198	257	351	225	"Wdr47"	"protein_coding"
"ENSMUSG00000040390.13"	724	560	170	675	786	796	856	992	831	"Map3k10"	"protein_coding"
"ENSMUSG00000040396.12"	638	478	168	1067	1276	1195	962	1080	838	"Abhd13"	"protein_coding"
"ENSMUSG00000040405.13"	4	1	7	0	0	0	0	2	0	"Havcr1"	"protein_coding"
"ENSMUSG00000040407.17"	1975	1577	489	2552	2220	1653	1462	1508	1338	"Akap9"	"protein_coding"
"ENSMUSG00000040410.14"	311	165	81	233	298	244	280	317	293	"Fbxl4"	"protein_coding"
"ENSMUSG00000040412.16"	11	19	34	1	0	8	0	0	3	"5330417C22Rik"	"protein_coding"
"ENSMUSG00000040413.15"	11	5	17	0	0	5	0	0	12	"Timd2"	"protein_coding"
"ENSMUSG00000040414.8"	793	601	180	1060	979	841	877	935	817	"Slc25a28"	"protein_coding"
"ENSMUSG00000040415.15"	2105	1320	358	757	686	657	762	790	632	"Dtx3"	"protein_coding"
"ENSMUSG00000040420.15"	3	4	13	2	0	0	0	0	0	"Cdh18"	"protein_coding"
"ENSMUSG00000040423.10"	3460	2402	659	5194	5831	5826	4953	5182	5407	"Rc3h1"	"protein_coding"
"ENSMUSG00000040424.15"	81	88	38	54	61	41	31	41	37	"Hipk4"	"protein_coding"
"ENSMUSG00000040428.19"	318	207	85	0	1	3	15	23	16	"Plekha4"	"protein_coding"
"ENSMUSG00000040429.6"	58.59	45.59	24.51	99.31	135.24	92.95	41.09	113.19	58.47	"Mterf1a"	"protein_coding"
"ENSMUSG00000040430.18"	71	69	69	71	97	115	100	106	87	"Pitpnc1"	"protein_coding"
"ENSMUSG00000040432.5"	6	15	19	4	1	10	0	3	2	"Ltb4r2"	"protein_coding"
"ENSMUSG00000040433.16"	3141	2596	720	2997	3146	3041	4521	4713	3797	"Zbtb38"	"protein_coding"
"ENSMUSG00000040434.16"	41	39	60	0	5	11	3	5	7	"Large2"	"protein_coding"
"ENSMUSG00000040435.12"	1880	1611	516	1166	1357	1212	896	1022	902	"Ppp1r15a"	"protein_coding"
"ENSMUSG00000040441.10"	30	40	18	9	11	13	3	5	8	"Slc26a10"	"protein_coding"
"ENSMUSG00000040446.4"	1122	785	254	1595	1839	1804	1689	1696	1522	"Rprd1a"	"protein_coding"
"ENSMUSG00000040447.15"	68	52	25	573	722	775	521	580	429	"Spns2"	"protein_coding"
"ENSMUSG00000040451.18"	666	536	204	719	884	770	648	746	608	"Sgms1"	"protein_coding"
"ENSMUSG00000040452.9"	4	26	11	4	0	7	0	0	5	"Cdh12"	"protein_coding"
"ENSMUSG00000040455.17"	1217	829	278	2353	2683	2327	2094	2358	1843	"Usp45"	"protein_coding"
"ENSMUSG00000040456.2"	0	0	2	0	0	0	0	0	0	"Hypm"	"protein_coding"
"ENSMUSG00000040459.11"	2227	1564	414	4579	4203	3529	3309	4173	2902	"Arglu1"	"protein_coding"
"ENSMUSG00000040462.13"	3443	2450	703	1478	1645	1524	2172	2340	1735	"Os9"	"protein_coding"
"ENSMUSG00000040463.16"	7033	4625	1386	32060	37169	36544	25491	31569	23908	"Mybbp1a"	"protein_coding"
"ENSMUSG00000040464.15"	327	244.15	78.04	998.24	1118.26	1119.68	825	960.47	794.31	"Gtpbp10"	"protein_coding"
"ENSMUSG00000040466.16"	1213	1141	329	1054	1144	1151	1377	1838	1408	"Blvrb"	"protein_coding"
"ENSMUSG00000040467.1"	0	12	11	0	0	0	0	0	2	"4921522P10Rik"	"lincRNA"
"ENSMUSG00000040471.17"	9	11	13	0	0	3	1	0	5	"Ggt6"	"protein_coding"
"ENSMUSG00000040472.15"	211	204	55	532	631	547	365	415	370	"Rabggta"	"protein_coding"
"ENSMUSG00000040473.15"	77	107	28	93	85	69	70	78	66	"Cfap69"	"protein_coding"
"ENSMUSG00000040478.14"	8	23	16	0	0	0	4	1	2	"Prdm13"	"protein_coding"
"ENSMUSG00000040479.11"	1763	1302	331	4304	4979	5061	4347	5695	4630	"Dgkz"	"protein_coding"
"ENSMUSG00000040481.17"	5090	3509	1034	11462	11949	11562	9212	10284	8278	"Bptf"	"protein_coding"
"ENSMUSG00000040482.16"	325	220	63	401	401	364	392	468	345	"Dxo"	"protein_coding"
"ENSMUSG00000040483.15"	1464	1053	324	26	15	34	854	750	900	"Xaf1"	"protein_coding"
"ENSMUSG00000040485.5"	4	2	12	0	0	0	0	0	2	"Lrrc52"	"protein_coding"
"ENSMUSG00000040488.17"	12427	9184	2369	4849	5066	3906	8598	9913	7140	"Ltbp4"	"protein_coding"
"ENSMUSG00000040489.5"	3	19	15	0	3	0	2	0	10	"Sox30"	"protein_coding"
"ENSMUSG00000040490.4"	27	4	15	0	0	9	7	0	3	"Lrfn2"	"protein_coding"
"ENSMUSG00000040495.4"	13	16	31	9	14	11	5	1	4	"Chrm4"	"protein_coding"
"ENSMUSG00000040498.7"	3	0	17	0	0	4	0	0	1	"Igsf23"	"protein_coding"
"ENSMUSG00000040502.5"	819	612	183	452	565	621	577	594	494	"March9"	"protein_coding"
"ENSMUSG00000040505.13"	13	0	15	0	0	3	0	2	1	"Abcg5"	"protein_coding"
"ENSMUSG00000040506.16"	1851	1389	371	2590	2791	2619	2420	2699	2107	"Ambra1"	"protein_coding"
"ENSMUSG00000040511.14"	3535	3672	963	1984	2235	1663	1259	1566	1114	"Pvr"	"protein_coding"
"ENSMUSG00000040514.6"	6	11	3	3	0	1	0	0	6	"Tex47"	"protein_coding"
"ENSMUSG00000040520.7"	716	480	157	939	952	887	682	871	520	"Manea"	"protein_coding"
"ENSMUSG00000040521.11"	450	391	126	1261	1406	1534	1066	1156	1048	"Tsfm"	"protein_coding"
"ENSMUSG00000040522.5"	1	2	12	0	0	0	1	0	2	"Tlr8"	"protein_coding"
"ENSMUSG00000040524.9"	3180	2281	611	5749	6289	5860	5375	5597	4583	"Zfp609"	"protein_coding"
"ENSMUSG00000040525.13"	0	5	1	0	0	0	0	0	0	"Cblc"	"protein_coding"
"ENSMUSG00000040528.15"	3	8	4	0	0	7	0	6	1	"Milr1"	"protein_coding"
"ENSMUSG00000040532.14"	197	197	45	795	759	846	467	577	455	"Abhd11"	"protein_coding"
"ENSMUSG00000040533.7"	2	3	2	0	0	1	0	0	2	"Matn1"	"protein_coding"
"ENSMUSG00000040536.15"	7	10	24	0	0	1	0	0	1	"Necab1"	"protein_coding"
"ENSMUSG00000040537.17"	20	20	30	0	0	11	3	3	20	"Adam22"	"protein_coding"
"ENSMUSG00000040540.6"	12.56	12.67	2.57	1.32	1.25	5.3	7.35	7.93	5.04	"Gm9770"	"processed_pseudogene"
"ENSMUSG00000040541.7"	0	3	10	0	0	7	0	0	0	"Tmem225"	"protein_coding"
"ENSMUSG00000040543.16"	36	71	36	0	0	8	0	2	8	"Pitpnm3"	"protein_coding"
"ENSMUSG00000040548.16"	2165	1441	479	2464	2817	2916	2471	2749	2064	"Tex2"	"protein_coding"
"ENSMUSG00000040549.16"	6265	4695	1333	13766	13993	13136	10526	12052	10651	"Ckap5"	"protein_coding"
"ENSMUSG00000040550.17"	855	542	166	3356.99	3775.83	3768.98	3031.87	3523.98	2830.99	"Otud6b"	"protein_coding"
"ENSMUSG00000040552.8"	40	30	31	71	80	90	73	120	58	"C3ar1"	"protein_coding"
"ENSMUSG00000040554.10"	15	18	15	6	8	3	6	7	12	"Aipl1"	"protein_coding"
"ENSMUSG00000040557.14"	301	215	86	19	13	24	135	93	86	"Mettl27"	"protein_coding"
"ENSMUSG00000040560.10"	761	580	167	428	436	395	501	598	557	"Wdr7"	"protein_coding"
"ENSMUSG00000040562.12"	186	127	46	164	204	212	221	226	158	"Gstm2"	"protein_coding"
"ENSMUSG00000040563.13"	992	606	187	226	270	193	512	522	467	"Plppr2"	"protein_coding"
"ENSMUSG00000040564.14"	3	1	0	0	0	0	0	0	0	"Apoc1"	"protein_coding"
"ENSMUSG00000040565.8"	1625	1078	343	5181	5735	5526	3304	4240	3496	"Btaf1"	"protein_coding"
"ENSMUSG00000040569.13"	8	3	10	0	1	10	2	7	12	"Slc26a7"	"protein_coding"
"ENSMUSG00000040570.14"	7	2	15	0	0	0	2	0	8	"Rundc3b"	"protein_coding"
"ENSMUSG00000040576.8"	4	3	0	0	0	0	0	0	0	"Tmem270"	"protein_coding"
"ENSMUSG00000040583.8"	0	0	1	0	0	0	0	0	0	"Cyp2b13"	"protein_coding"
"ENSMUSG00000040584.8"	28.15	13.28	12.11	21.92	20.72	29.6	47.13	30.59	57.15	"Abcb1a"	"protein_coding"
"ENSMUSG00000040586.8"	415	245	88	772	999	905	798	936	701	"Ofd1"	"protein_coding"
"ENSMUSG00000040591.18"	228	188	73	113	124	137	218	229	177	"1110051M20Rik"	"protein_coding"
"ENSMUSG00000040592.11"	3	0	12	0	0	1	0	0	0	"Cd79b"	"protein_coding"
"ENSMUSG00000040594.19"	25	14	29	1	3	12	3	0	8	"Ranbp17"	"protein_coding"
"ENSMUSG00000040596.15"	33	71	67	3	1	4	0	0	12	"Pogk"	"protein_coding"
"ENSMUSG00000040599.13"	827	624	142	1440	1437	1371	2031	2275	1784	"Mis12"	"protein_coding"
"ENSMUSG00000040600.9"	0	4	1	0	0	0	0	0	0	"Eps8l3"	"protein_coding"
"ENSMUSG00000040601.13"	10	11	12	0	0	0	0	0	2	"Nlrp4a"	"protein_coding"
"ENSMUSG00000040605.7"	12	23	41	0	0	0	2	17	5	"Bace2"	"protein_coding"
"ENSMUSG00000040606.13"	25	47	54	1	0	6	0	0	15	"Kazn"	"protein_coding"
"ENSMUSG00000040610.7"	6	3	5	0	0	0	4	0	0	"Tlx3"	"protein_coding"
"ENSMUSG00000040612.13"	37	6	43	2	0	1	3	0	11	"Ildr2"	"protein_coding"
"ENSMUSG00000040613.14"	131	71	30	33	39	31	112	84	69	"Apobec1"	"protein_coding"
"ENSMUSG00000040614.14"	21	12	30	0	3	0	0	0	12	"Nlrp9c"	"protein_coding"
"ENSMUSG00000040616.3"	15	11	19	7	13	32	14	24	16	"Tmem51"	"protein_coding"
"ENSMUSG00000040618.7"	2106	1733	476	2316	3111	2122	1434	1545	1352	"Pck2"	"protein_coding"
"ENSMUSG00000040620.15"	1416	954	307	4811	4946	5202	3788	4857	3881	"Dhx33"	"protein_coding"
"ENSMUSG00000040621.14"	179	160	37	308	382	303	388	414.98	295	"Gemin8"	"protein_coding"
"ENSMUSG00000040624.17"	25	20	51	4	0	2	2	5	16	"Plekhg1"	"protein_coding"
"ENSMUSG00000040627.14"	12	8	13	0	0	0	4	0	1	"Aicda"	"protein_coding"
"ENSMUSG00000040629.8"	2	2	2	0	0	0	0	0	0	"Mael"	"protein_coding"
"ENSMUSG00000040631.8"	219	179	55	111	206	178	172	159	150	"Dok4"	"protein_coding"
"ENSMUSG00000040632.16"	19	19	29	0	0	3	3	0	4	"Nrl"	"protein_coding"
"ENSMUSG00000040640.11"	46	40	47	4	8	16	11	11	24	"Erc2"	"protein_coding"
"ENSMUSG00000040648.14"	1365	812	308	3748	4329	4209	2904	3291	2729	"Ppip5k2"	"protein_coding"
